Title,Description,Link,Site,Label
"تشيلي تقدم شكوى إلى ""فيفا"" بشأن جنسية لاعب إكوادوري",قدّم اتحاد تشيلي لكرة القدم عقب فشل منتخبه الوطني في التأهل إلى نهائيات كأس العالم 2022 في قطر شكوى إلى الاتحاد الدولي للعبة ضد الإكوادور، الضامنة ...,https://www.alarabiya.net//sport/international-sport/2022/05/06/تشيلي-تقدم-شكوى-الى-فيفا-بشأن-جنسية-لاعب-اكوادوري,Al-Arabiya,Sport
ناغلسمان: لا توجد مؤشرات اتفاق مع ليفاندوفسكي,كشف جوليان ناغلسمان المدير الفني لفريق بايرن ميونخ الألماني لكرة القدم أن المفاوضات الأولية بين مسؤولي النادي ونجم هجوم الفريق روبرت ليفاندوفسكي بشأن ...,https://www.alarabiya.net//sport/international-sport/2022/05/06/ناغلسمان-لا-توجد-مؤشرات-اتفاق-مع-ليفاندوفسكي-,Al-Arabiya,Sport
صالح صديق: جدتي هددتني قبل مباراة النصر,كشف صالح صديق مدافع الشباب والنصر السابق أن جدته هددته مازحة قبل مباراة جمعت الفريقين، مشيراً إلى أن تجربة انتقاله لصفوف الأخير كانت جيدة.وقال صديق في ...,https://www.alarabiya.net//sport/saudi-sport/2022/05/06/صالح-صديق-جدتي-هددتني-قبل-مباراة-النصر,Al-Arabiya,Sport
آينتراخت يتأهل لمواجهة رينجرز في نهائي الدوري الأوروبي,فاز آينتراخت فرانكفورت على عشرة لاعبين من وست هام يونايتد 1-صفر في إياب الدور قبل النهائي للدوري الأوروبي لكرة القدم يوم الخميس، ليبلغ أول نهائي ...,https://www.alarabiya.net//sport/international-sport/2022/05/06/آينتراخت-يتأهل-لمواجهة-رينجرز-في-نهائي-الدوري-الأوروبي,Al-Arabiya,Sport
روما يضرب موعداً مع فينورد في نهائي دوري المؤتمر,تأهل روما الإيطالي للمباراة النهائية لدوري المؤتمر الأوروبي لكرة القدم، عقب تغلبه على ضيفه ليستر سيتي الإنجليزي 1 - صفر، يوم الخميس، في إياب الدور قبل ...,https://www.alarabiya.net//sport/international-sport/2022/05/06/روما-يضرب-موعداً-مع-فينورد-نهائي-دوري-المؤتمر,Al-Arabiya,Sport
أهلي جدة ينجو من الباطن في الوقت القاتل,انتزع أهلي جدة نقطة ثمينة من مضيفه الباطن بعد تعادله معه 2-2 يوم الخميس في الجولة 26 من دوري كأس محمد بن سلمان للمحترفين.وتقدم الباطن في الشوط الأول ...,https://www.alarabiya.net//sport/saudi-sport/2022/05/05/أهلي-جدة-ينجو-من-الباطن-في-الوقت-القاتل,Al-Arabiya,Sport
صلاح يواصل تهديد ريال مدريد: سأنتقم,واصل محمد صلاح، نجم ليفربول الإنجليزي، تهديد ريال مدريد، وأكد أنه سينتقم لخسارة لقب دوري أبطال أوروبا في نهائي 2018 بالعاصمة الأوكرانية كييف.وحصل ...,https://www.alarabiya.net//sport/international-sport/2022/05/06/صلاح-يواصل-تهديد-ريال-مدريد-سأنتقم-,Al-Arabiya,Sport
والدته: مبابي لم يتفق مع باريس,نفت فايزة العماري والدة كيليان مبابي الأخبار التي تحدثت عن موافقة ابنها على العرض الأخير الذي قدمه باريس سان جيرمان لتجديد تعاقده لمدة عامين مع خيار ...,https://www.alarabiya.net//sport/international-sport/2022/05/05/والدته-مبابي-لم-يتفق-مع-باريس-,Al-Arabiya,Sport
لو باريزيان: مبابي وافق على عرض باريس سان جيرمان,كشفت تقارير صحافية فرنسية، يوم الخميس، عن اقتراب كيليان مبابي من تجديد عقده مع باريس سان جيرمان، في خطوة مفاجئة بعدما توقعت وسائل الإعلام انضمامه إلى ...,https://www.alarabiya.net//sport/international-sport/2022/05/05/لو-باريزيان-مبابي-وافق-على-عرض-باريس-سان-جيرمان,Al-Arabiya,Sport
أبراموفيتش ينفي طلبه من تشيلسي رد قرض يفوق مليار إسترليني,نفى رومان أبراموفيتش يوم الخميس تقارير إعلامية عن أنه طلب من تشيلسي رد قرض بقيمة 1.5 مليار جنيه إسترليني كان الملياردير الروسي أعطاه للنادي المنافس في ...,https://www.alarabiya.net//sport/2022/05/05/أبراموفيتش-ينفي-طلبه-من-تشيلسي-برد-قرض-يفوق-مليار-استرليني,Al-Arabiya,Sport
الاتفاق يقسو على التعاون برباعية,اكتسح الاتفاق مضيفه التعاون 4 - صفر، يوم الخميس، ضمن منافسات المرحلة 26 من دوري كأس محمد بن سلمان للمحترفين.وتقدم الاتفاق عن طريق نعيم السليتي في ...,https://www.alarabiya.net//sport/saudi-sport/2022/05/05/الاتفاق-يقسو-على-التعاون-برباعية,Al-Arabiya,Sport
سان جيرمان يسجّل عجزاً بقيمة 225 مليون يورو,سجّل نادي باريس سان يجرمان بطل الدوري الفرنسي لكرة القدم عجزاً بقيمة 224.28 مليون يورو (235.5 مليون دولار) في موسم 2020-2021، في ارتفاع نسبته 80 في ...,https://www.alarabiya.net//sport/international-sport/2022/05/05/سان-جرمان-يسجّل-عجزاً-بقيمة-225-مليون-يورو,Al-Arabiya,Sport
الوجه الآخر لأنشيلوتي.. كهربائي من أرض الجبن والبعوض,يتطلع كارلو أنشيلوتي إلى تحقيق لقب دوري أبطال أوروبا للمرة الرابعة في مسيرته التدريبية، بعدما قاد ريال مدريد إلى المباراة النهائية على حساب مانشستر ...,https://www.alarabiya.net//sport/international-sport/2022/05/05/الوجه-الآخر-لأنشيلوتي-كهربائي-من-أرض-الجبن-والبعوض,Al-Arabiya,Sport
اتحاد جدة في الأحساء.. فوزان بينهما 8 أعوام,يعاني اتحاد جدة حينما يواجه نظيره الفتح على ملعب مدينة الأمير عبدالله بن جلوي في الأحساء خلال منافسات دوري كأس محمد بن سلمان للمحترفين، إذ حقق ...,https://www.alarabiya.net//sport/2022/05/05/اتحاد-جدة-في-الأحساء-فوزان-بينهما-8-أعوام-في-12-مباراة,Al-Arabiya,Sport
الإصابة تسقط بيكيه من جديد,كشف نادي برشلونة المنافس في دوري الدرجة الأولى الإسباني لكرة القدم يوم الخميس أن المدافع جيرار بيكيه سيغيب لفترة عن المنافسات بعدما تفاقمت إصابته في ...,https://www.alarabiya.net//sport/international-sport/2022/05/05/الاصابة-تسقط-بيكيه-من-جديد,Al-Arabiya,Sport
"هل سقط غوارديولا ضحية لـ""لعنة"" توريه الإفريقية؟",فشل بيب غوارديولا مجدداً في تحقيق لقب دوري أبطال أوروبا بعد خروجه المفاجئ على يد مضيفه ريال مدريد الإسباني عقب خسارته 1-3 بعد التمديد، الأربعاء، في ...,https://www.alarabiya.net//sport/international-sport/2022/05/05/هل-سقط-غوارديولا-ضحية-لـ-لعنة-توريه-الافريقية-؟,Al-Arabiya,Sport
بايرن ميونخ يخطف هدف برشلونة,كشفت تقارير صحافية أن المغربي نصير مزراوي لاعب آياكس الهولندي قرر الانتقال إلى بايرن ميونخ بطل ألمانيا بدلًا من برشلونة، بعدما أكدت صحف إسبانية عدة ...,https://www.alarabiya.net//sport/2022/05/05/بايرن-ميونخ-يخطف-هدف-برشلونة,Al-Arabiya,Sport
النصر لا يعرف طعم الفوز على الشباب منذ 814 يوماً,لم يعرف النصر الفوز على الشباب منذ 814 يوماً مضت، إذ أمضى ما يزيد عن عامين دون الفوز على جاره في المباريات التي جمعتهما عقب شهر فبراير من عام ...,https://www.alarabiya.net//sport/saudi-sport/2022/05/05/النصر-لا-يعرف-طعم-الفوز-على-الشباب-منذ-814-يوماً,Al-Arabiya,Sport
اتحاد جدة يواجه الفتح لقطع خطوة إضافية نحو لقب الدوري,يسعى اتحاد جدة إلى قطع خطوة إضافية نحو إحراز لقب دوري كأس محمد بن سلمان للمحترفين، عندما يلاقي الفتح، يوم الجمعة، في الجولة الـ 26 للمسابقة، وذلك على ...,https://www.alarabiya.net//sport/saudi-sport/2022/05/05/اتحاد-جدة-يواجه-الفتح-لقطع-خطوة-اضافية-نحو-لقب-الدوري-,Al-Arabiya,Sport
حيلة أنشيلوتي في غرفة الملابس التي قلبت الطاولة على سيتي,أكدت تقارير صحافية أن المدرب الإيطالي كارلو أنشيلوتي عرض على لاعبيه في غرفة الملابس فيديو يحتوي على مقاطع من مباريات عاد خلالها ريال مدريد في النتيجة ...,https://www.alarabiya.net//sport/2022/05/05/حيلة-أنشيلوتي-في-غرفة-الملابس-التي-قلبت-الطاولة-على-سيتي,Al-Arabiya,Sport
قمة بين النصر والشباب في الدوري السعودي,يصطدم فريق النصر بجاره الشباب في مباراة من العيار الثقيل، يوم الجمعة، على ملعب مرسول بارك بالرياض، ضمن صراع دائر بين ثلاثة أندية على المركز الثاني، ...,https://www.alarabiya.net//sport/saudi-sport/2022/05/05/قمة-بين-النصر-والشباب-في-الدوري-السعودي,Al-Arabiya,Sport
التونسية جابر إلى النهائي الأكبر في مسيرتها,بلغت التونسية أنس جابر، المصنفة عاشرة عالميًا، النهائي الأكبر في مسيرتها الاحترافية بتأهلها إلى مباراة القمة في دورة مدريد للألف على الملاعب الترابية ...,https://www.alarabiya.net//sport/2022/05/05/التونسية-جابر-الى-النهائي-الأكبر-في-مسيرتها,Al-Arabiya,Sport
دوري الأبطال.. كابوس يطارد غوارديولا,تبخر حلم مانشستر سيتي الإنجليزي ومدربه الإسباني بيب غوارديولا مجددًا في التتويج بلقب مسابقة دوري أبطال أوروبا في كرة القدم، بخروجه الدراماتيكي على يد ...,https://www.alarabiya.net//sport/international-sport/2022/05/05/دوري-الأبطال-كابوس-يطارد-غوارديولا,Al-Arabiya,Sport
إيتو يمدح ريال مدريد: كل شيء بدأ من هناك,مدح الكاميروني صامويل إيتو هداف برشلونة ولاعب ريال مدريد الأسبق، فريق العاصمة الإسبانية بعدما قلب تأخره إلى فوز أمام مانشستر سيتي وبلغ نهائي دوري ...,https://www.alarabiya.net//sport/2022/05/05/ايتو-يمدح-ريال-مدريد-كل-شيء-بدأ-من-هناك,Al-Arabiya,Sport
لاعب ليفربول: ريال مدريد لن يفوز بدوري الأبطال,شدد جيمي كاراغر، لاعب ليفربول السابق، على أن تأهل ريال مدريد إلى نهائي دوري أبطال أوروبا أفضل من مواجهة مانشستر سيتي، الذي اعتبره الأقوى والأفضل.وكان ...,https://www.alarabiya.net//sport/international-sport/2022/05/05/لاعب-ليفربول-ريال-مدريد-لن-يفوز-بدوري-الأبطال,Al-Arabiya,Sport
كورتوا: ريال مدريد قادر على فعل أي شيء,يرى الحارس البلجيكي الدولي تيبو كورتوا أن فريقه ريال مدريد قادر على تحقيق أي شيء وذلك بعد الفوز المثير على ضيفه مانشستر سيتي الإنجليزي 3 -1 يوم ...,https://www.alarabiya.net//sport/2022/05/05/كورتوا-ريال-مدريد-قادر-على-فعل-أي-شيء,Al-Arabiya,Sport
ألفيش بعد تأهل ريال مدريد: لا وجود للحظ في كرة القدم,"نشر البرازيلي داني ألفيش لاعب برشلونة منشورًا عبر حسابه على تطبيق ""انستغرام"" وذلك بعد تأهل ريال مدريد إلى نهائي دوري أبطال أوروبا عقب تحويل تأخره إلى ...",https://www.alarabiya.net//sport/2022/05/05/ألفيش-بعد-تأهل-ريال-مدريد-لا-وجود-للحظ-في-كرة-القدم,Al-Arabiya,Sport
كاسيميرو يرد على تصريحات صلاح,رد البرازيلي كاسيميرو، لاعب خط وسط ريال مدريد، على التصريحات التي أطلقها محمد صلاح، نجم ليفربول، معتبرا أن وعود اللاعب المصري جاءت بسبب إصابته في ...,https://www.alarabiya.net//sport/international-sport/2022/05/05/كاسيميرو-يرد-على-تصريحات-صلاح,Al-Arabiya,Sport
"أغويرو يكشف رد فعل ميسي على ""ريمونتادا"" ريال مدريد","كشف سيرجيو أغويرو مهاجم مانشستر سيتي الأسبق على رد فعل ليونيل ميسي لاعب باريس سان جيرمان الحالي وقائد برشلونة السابق على ""ريمونتادا"" ريال مدريد ضد ...",https://www.alarabiya.net//sport/2022/05/05/أغويرو-يكشف-رد-فعل-ميسي-على-ريمونتادا-ريال-مدريد,Al-Arabiya,Sport
غوارديولا: ريال مدريد تكتّل في منطقة الجزاء,تقبل بيب غوارديولا مدرب مانشستر سيتي هزيمة فريقه بعد انتفاضة مذهلة أرسلت ريال مدريد إلى نهائي دوري أبطال أوروبا لكرة القدم يوم الأربعاء مع تحطم آمال ...,https://www.alarabiya.net//sport/2022/05/05/غوراديولا-ريال-مدريد-تكتّل-في-منطقة-الجزاء,Al-Arabiya,Sport
أنشيلوتي: نحن لا نستسلم حتى وإن بدا أن كل شيء انتهى,بعد ليلة ساحرة أخرى في ملعب سانتياغو برنابيو، أعاد كارلو أنشيلوتي مدرب ريال مدريد الفضل في بلوغ نهائي دوري أبطال أوروبا لكرة القدم إلى عدم الاستسلام ...,https://www.alarabiya.net//sport/2022/05/05/أنشيلوتي-نحن-لا-نستسلم-حتى-وان-بدا-أن-كل-شيء-انتهى,Al-Arabiya,Sport
"""من عالم آخر"".. الصحف الإسبانية تشيد بريال مدريد",أشادت وسائل الإعلام الإسبانية بما حققه ريال مدريد بطل الدوري المحلي الذي انتفض بصورة هائلة في مواجهة ضيفه مانشستر سيتي الإنجليزي في إياب قبل نهائي ...,https://www.alarabiya.net//sport/2022/05/05/-من-عالم-آخر-الصحف-الاسبانية-تشيد-بريال-مدريد,Al-Arabiya,Sport
صلاح يتوعد ريال مدريد مجدداً,توعد محمد صلاح، نجم ليفربول، فريق ريال مدريد مجدداً بعدما تأهل إلى نهائي دوري أبطال أوروبا على حساب مانشستر سيتي.وقادت (ريمونتادا) مجنونة ريال مدريد ...,https://www.alarabiya.net//sport/international-sport/2022/05/05/مجدداً-صلاح-يتوعد-ريال-مدريد,Al-Arabiya,Sport
"""ريمونتادا"" تاريخية تقود ريال مدريد إلى نهائي الأبطال",قادت (ريمونتادا) مجنونة ريال مدريد الإسباني للتأهل إلى نهائي بطولة دوري أبطال أوروبا لكرة القدم للمرة السابعة عشر في تاريخه، بعدما قلب تأخره صفر - 1 ...,https://www.alarabiya.net//sport/international-sport/2022/05/05/-ريمونتادا-تاريخية-تقود-ريال-مدريد-الى-نهائي-الأبطال,Al-Arabiya,Sport
إصابة لاعب هولندي في حادث سيارة أودى بحياة سائق,نقل لاعب كرة القدم الهولندي ريك فان درونغيلين إلى المستشفى عقب تعرضه لإصابات لم يتم الكشف عنها في حادث سيارة أودى بحياة سائق السيارة الأخرى، حسب ما ...,https://www.alarabiya.net//sport/2022/05/04/اصابة-لاعب-هولندي-في-حادث-سيارة-أودى-بحياة-سائق,Al-Arabiya,Sport
بيع قميص مارادونا الشهير بأكثر من 9 ملايين دولار,"بيع القميص الذي ارتداه أسطورة كرة القدم الأرجنتينية دييغو أرماندو مارادونا عندما سجل هدفين شهيرين في مرمى إنجلترا في ربع نهائي مونديال 1986، بنحو 9,3 ...",https://www.alarabiya.net//sport/2022/05/04/بيع-قميص-مارادونا-الشهير-بأكثر-من-9-ملايين-دولار,Al-Arabiya,Sport
ركلات الترجيح تمنح العين الإماراتي لقب كأس الرابطة,توج العين بلقب كأس رابطة المحترفين الإماراتية لكرة القدم بعد فوزه على شباب الأهلي دبي 5-4 بركلات الترجيح بعد انتهاء الوقت الأصلي بالتعادل 2-2 في استاد ...,https://www.alarabiya.net//sport/arab-sport/2022/05/04/ركلات-الترجيح-تمنح-العين-الاماراتي-كأس-الرابطة,Al-Arabiya,Sport
أهلي جدة والباطن في لقاء الهروب من الهبوط,تفتتح مساء يوم الخميس مباريات الجولة الـ 26 من دوري كأس محمد بن سلمان للمحترفين، عندما يستضيف التعاون فريق الاتفاق، بينما يحل أهلي جدة ضيفا على ...,https://www.alarabiya.net//sport/saudi-sport/2022/05/04/أهلي-جدة-والباطن-في-لقاء-الهروب-من-الهبوط,Al-Arabiya,Sport
لاعبة تركل حكماً في الدوري الإكوادوري للسيدات,"قامت لاعبة في الدوري الإكوادوري للسيدات بركل حكم بعدما طردها خلال مباراة فريقها ""ليونيس ديل نورتي"" أمام ""كلاب ناناس"".وبدأت القصة حينما ساعدت تشيرلي ...",https://www.alarabiya.net//sport/2022/05/04/لاعبة-تركل-حكمًا-في-الدوري-الاكوادوري-للسيدات,Al-Arabiya,Sport
"جماهير الجزائر تحتج أمام مقر ""فيفا""","تجمع عشرات الجزائريين، يوم الأربعاء، أمام مقر الاتحاد الدولي لكرة القدم ""فيفا"" في زيورخ السويسرية، احتجاجا على الأخطاء التحكيمية للحكم الغامبي باكاري ...",https://www.alarabiya.net//sport/arab-sport/2022/05/04/جماهير-الجزائر-تحتج-أمام-مقر-فيفا-,Al-Arabiya,Sport
اعتداء على مشجعي وست هام قبل مواجهة فرانكفورت في الدوري الأوروبي,أكدت الشرطة الألمانية أن مجموعة من مشجعي وست هام يونايتد تعرضوا لهجوم وتم نقل أحدهم إلى مستشفى مصابا بجروح طفيفة يوم الأربعاء قبل مباراة إياب الدور ...,https://www.alarabiya.net//sport/2022/05/04/اعتداء-على-مشجعي-وست-هام-قبل-مواجهة-فرانكفورت-في-الدوري-الأوروبي,Al-Arabiya,Sport
تير شتيغن يغيب عن مباريات منتخب ألمانيا,سيغيب الألماني مارك أندريه تير شتيغن حارس مرمى برشلونة الإسباني والحارس البديل لمنتخب ألمانيا، عن الدور الأول في دوري الأمم الأوروبية في يونيو المقبل، ...,https://www.alarabiya.net//sport/international-sport/2022/05/04/تير-شتيغن-يغيب-عن-مباريات-منتخب-ألمانيا,Al-Arabiya,Sport
خضيرة يدعو روديغر إلى الانضمام لريال مدريد,"حث سامي خضيرة لاعب منتخب ألمانيا سابقا، مواطنه انطونيو روديغر مدافع تشيلسي الإنجليزي على الانتقال لريال مدريد الإسباني.وقال خضيرة ""35 عاما"" لبرنامج ...",https://www.alarabiya.net//sport/international-sport/2022/05/04/خضيرة-يدعو-روديغر-الى-الانضمام-لريال-مدريد,Al-Arabiya,Sport
"الأرجنتين تتوسل لصاحب قميص ""يد الله"" من أجل إعادته","توسلت الأرجنتين لستيف هودج نجم منتخب إنجلترا السابق لسحب قميص مارادونا الذي ارتداه في مباراة الأرجنتين وإنجلترا وسجل به هدف ""يد الله"" الشهير، من مزاد ...",https://www.alarabiya.net//sport/2022/05/04/الأرجنتين-تتوسل-لصاحب-قميص-يد-الله-من-أجل-اعادته,Al-Arabiya,Sport
صلاح وفان دايك يكشفان عن حديث كلوب بين شوطي مباراة فياريال,كشف نجما فريق ليفربول الإنجليزي محمد صلاح وفيرجيل فان دايك عن حديث مدربهما الألماني يورغن كلوب في غرف الملابس، بين شوطي مباراة فياريال يوم الثلاثاء ...,https://www.alarabiya.net//sport/2022/05/04/صلاح-وفان-دايك-يكشفان-عن-حديث-كلوب-بين-شوطي-مباراة-فياريال,Al-Arabiya,Sport
سجن مهاجم سلتا فيغو 4 سنوات بتهمة الاعتداء الجنسي,كشفت وثائق قضائية يوم الأربعاء أن محكمة إسبانية قضت بالسجن أربع سنوات على سانتي مينا لاعب سلتا فيغو بتهمة الاعتداء الجنسي على امرأة في 2017 مما دفع ...,https://www.alarabiya.net//sport/2022/05/04/سجن-مهاجم-سلتا-فيغو-4-سنوات-بتهمة-الاعتداء-الجنسي,Al-Arabiya,Sport
البيت الأبيض: نجمة كرة السلة غرينر اعتقلت عن طريق الخطأ في روسيا,"تحاول إدارة الرئيس الأمريكي جو بايدن، الإفراج عن نجمة الدوري الأمريكي لكرة السلة للمحترفين، بريتني غرينر، معتبرا أنه تم إلقاء القبض عليها ""عن طريق ...",https://www.alarabiya.net//sport/2022/05/04/البيت-الأبيض-نجمة-كرة-السلة-غرينر-اعتقلت-عن-طريق-الخطأ-في-روسيا,Al-Arabiya,Sport
رانغنيك: رونالدو لا يريد اللعب في قلب الهجوم,"أكد المدرب المؤقت رالف رانغنيك أن مانشستر يونايتد يجب أن يتعاقد مع مهاجمين اثنين ""يجيدان كرة القدم الحديثة"" لإضافة جودة حقيقية للفريق عندما يبدأ ...",https://www.alarabiya.net//sport/2022/05/04/رانغنيك-رونالدو-لا-يريد-اللعب-في-قلب-الهجوم,Al-Arabiya,Sport
التونسية أنس جابر تبلغ نصف نهائي دورة مدريد,بلغت التونسية أنس جابر المصنفة عاشرة عالمياً نصف نهائي دورة مدريد للألف على ملاعب ترابية، بفوزها على الرومانية سيمونا هاليب الأربعاء 6-3 و6-2.ونجحت ...,https://www.alarabiya.net//sport/2022/05/04/التونسية-أنس-جابر-تبلغ-نصف-نهائي-دورة-مدريد,Al-Arabiya,Sport
أيمن الرفاعي يكشف تفاصيل جديدة في قرار قضية كنو ,,https://www.alarabiya.net//sport/videos/2022/05/04/أيمن-الرفاعي-يكشف-تفاصيل-جديدة-في-قرار-قضية-كنو-,Al-Arabiya,Sport
"صلاح: لسبب ""شخصي"".. أريد مواجهة ريال مدريد",كشف النجم المصري محمد صلاح، لاعب ليفربول الإنجليزي، أنه يرغب في مواجهة ريال مدريد في نهائي دوري أبطال أوروبا لسبب شخصي.وبلغ ليفربول، يوم الثلاثاء، ...,https://www.alarabiya.net//sport/international-sport/2022/05/04/صلاح-لسبب-شخصي-أريد-مواجهة-ريال-مدريد,Al-Arabiya,Sport
ليفربول يحبط مفاجأة فياريال ويبلغ نهائي الأبطال,واصل ليفربول الإنجليزي حلمه بالتتويج بلقب دوري أبطال أوروبا لكرة القدم للمرة السابعة في تاريخه، بعدما تأهل للمباراة النهائية للمسابقة القارية، عقب ...,https://www.alarabiya.net//sport/international-sport/2022/05/04/ليفربول-يحبط-مفاجأة-فياريال-ويبلغ-نهائي-الأبطال,Al-Arabiya,Sport
